Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE TROPICA,"1,425,000","1,237.86","1,151",Oct-23,TAMPINES AVENUE 1,Resale,Strata,115,"12,391",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,11 to 15
MARTIA RESIDENCE,"2,350,000","1,948.28","1,206",Oct-23,MARTIA ROAD,Resale,Strata,181,"12,983",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
NORTHVALE,"1,380,000","1,270.15","1,086",Oct-23,CHOA CHU KANG LOOP,Resale,Strata,118,"11,695",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10
URBAN VISTA,"758,000",441.32,"1,718",Oct-23,TANAH MERAH KECHIL LINK,Resale,Strata,41,"18,488",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,980,000","1,108.69","1,786",Oct-23,HOUGANG AVENUE 7,Sub Sale,Strata,103,"19,223",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
THE MARQUE @ IRRAWADDY,"1,790,000","1,087.16","1,646",Oct-23,SHAN ROAD,Resale,Strata,101,"17,723",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
HIGH PARK RESIDENCES,"900,000",581.26,"1,548",Oct-23,FERNVALE ROAD,Resale,Strata,54,"16,667",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10
THE WOODLEIGH RESIDENCES,"2,250,000",958,"2,349",Oct-23,BIDADARI PARK DRIVE,Sub Sale,Strata,89,"25,281",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10
THE INTERLACE,"2,870,000","1,872.94","1,532",Oct-23,DEPOT ROAD,Resale,Strata,174,"16,494",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,16 to 20
JUI RESIDENCES,"840,000",430.56,"1,951",Oct-23,SERANGOON ROAD,Resale,Strata,40,"21,000",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
DOUBLE BAY RESIDENCES,"1,270,000",936.47,"1,356",Oct-23,SIMEI STREET 4,Resale,Strata,87,"14,598",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
THE POIZ RESIDENCES,"820,000",419.8,"1,953",Oct-23,MEYAPPA CHETTIAR ROAD,Resale,Strata,39,"21,026",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,06 to 10
SEASIDE RESIDENCES,"1,318,000",592.02,"2,226",Oct-23,SIGLAP LINK,Resale,Strata,55,"23,964",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,21 to 25
AZALEA PARK CONDOMINIUM,"1,470,000","1,334.74","1,101",Oct-23,FLORA ROAD,Resale,Strata,124,"11,855",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,06 to 10
POLLEN & BLEU,"1,010,000",548.96,"1,840",Oct-23,FARRER DRIVE,Resale,Strata,51,"19,804",-,Condominium,1,99 yrs lease commencing from 2012,10,Core Central Region,01 to 05
PULLMAN RESIDENCES NEWTON,"1,615,000",462.85,"3,489",Oct-23,DUNEARN ROAD,New Sale,Strata,43,"37,558",-,Apartment,1,Freehold,11,Core Central Region,26 to 30
MIDTOWN MODERN,"4,481,000","1,463.9","3,061",Oct-23,TAN QUEE LAN STREET,New Sale,Strata,136,"32,949",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,26 to 30
THE INTERLACE,"1,720,000","1,054.87","1,631",Oct-23,DEPOT ROAD,Resale,Strata,98,"17,551",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,01 to 05
CAPE ROYALE,"3,659,000","1,722.24","2,125",Oct-23,COVE WAY,Resale,Strata,160,"22,869",-,Condominium,1,99 yrs lease commencing from 2008,04,Core Central Region,06 to 10
BLUE HORIZON,"1,670,000","1,162.51","1,437",Oct-23,WEST COAST CRESCENT,Resale,Strata,108,"15,463",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,11 to 15
ASPEN HEIGHTS,"3,300,000","1,571.54","2,100",Oct-23,RIVER VALLEY ROAD,Resale,Strata,146,"22,603",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
283 STUDIO,"1,030,000",527.44,"1,953",Oct-23,RIVER VALLEY ROAD,Resale,Strata,49,"21,020",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
LENTOR MODERN,"3,125,000","1,528.49","2,045",Oct-23,LENTOR CENTRAL,New Sale,Strata,142,"22,007",-,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,01 to 05
PARC OASIS,"1,490,088","1,227.1","1,214",Oct-23,JURONG EAST AVENUE 1,Resale,Strata,114,"13,071",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,16 to 20
BARTLEY RIDGE,"808,000",462.85,"1,746",Oct-23,MOUNT VERNON ROAD,Resale,Strata,43,"18,791",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
PARC VISTA,"1,155,000","1,054.87","1,095",Oct-23,CORPORATION ROAD,Resale,Strata,98,"11,786",-,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,06 to 10
THE IMPERIAL,"3,400,000","1,410.08","2,411",Oct-23,JALAN RUMBIA,Resale,Strata,131,"25,954",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
GRANDEUR PARK RESIDENCES,"1,290,000",667.37,"1,933",Oct-23,BEDOK SOUTH AVENUE 3,Resale,Strata,62,"20,806",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,11 to 15
BELLA CASITA,"830,000",462.85,"1,793",Oct-23,IPOH LANE,Resale,Strata,43,"19,302",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
MANHATTAN MANSIONS,"3,990,000","2,195.86","1,817",Oct-23,GRANGE ROAD,Resale,Strata,204,"19,559",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
BARTLEY VUE,"1,987,000","1,044.11","1,903",Oct-23,JALAN BUNGA RAMPAI,New Sale,Strata,97,"20,485",-,Apartment,1,99 yrs lease commencing from 2020,19,Rest of Central Region,06 to 10
MONTEBLEU,"2,220,000","1,140.98","1,946",Oct-23,MINBU ROAD,Resale,Strata,106,"20,943",-,Condominium,1,Freehold,11,Core Central Region,21 to 25
GARDENVISTA,"1,950,000","1,108.69","1,759",Oct-23,DUNEARN ROAD,Resale,Strata,103,"18,932",-,Condominium,1,99 yrs lease commencing from 1999,21,Rest of Central Region,06 to 10
EASTBAY,"1,728,000","1,108.69","1,559",Oct-23,TAY LIAN TECK ROAD,Resale,Strata,103,"16,777",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
ONE MEYER,"2,820,000","1,033.34","2,729",Oct-23,MEYER PLACE,Sub Sale,Strata,96,"29,375",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
WHISTLER GRAND,"2,150,000","1,065.64","2,018",Oct-23,WEST COAST VALE,Resale,Strata,99,"21,717",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
PARVIS,"2,308,000",990.29,"2,331",Oct-23,HOLLAND HILL,Resale,Strata,92,"25,087",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
NATURA@HILLVIEW,"1,450,000","1,216.33","1,192",Oct-23,HILLVIEW TERRACE,Resale,Strata,113,"12,832",-,Apartment,1,Freehold,23,Outside Central Region,06 to 10
TREVISTA,"1,399,000",861.12,"1,625",Oct-23,LORONG 3 TOA PAYOH,Resale,Strata,80,"17,488",-,Condominium,1,99 yrs lease commencing from 2008,12,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"2,260,000",979.52,"2,307",Oct-23,STIRLING ROAD,Resale,Strata,91,"24,835",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
THE CAPE,"1,240,000",645.84,"1,920",Oct-23,AMBER ROAD,Resale,Strata,60,"20,667",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PENROSE,"2,120,000","1,054.87","2,010",Oct-23,SIMS DRIVE,Sub Sale,Strata,98,"21,633",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,06 to 10
CONCOURSE SKYLINE,"2,528,000","1,151.75","2,195",Oct-23,BEACH ROAD,Resale,Strata,107,"23,626",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,36 to 40
TROPIKA EAST,"1,180,000",839.59,"1,405",Oct-23,FOO KIM LIN ROAD,Resale,Strata,78,"15,128",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
RIVERSOUND RESIDENCE,"2,108,000","2,195.86",960,Oct-23,SENGKANG EAST AVENUE,Resale,Strata,204,"10,333",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
VIBES @ EAST COAST,"693,000",398.27,"1,740",Oct-23,TELOK KURAU ROAD,Resale,Strata,37,"18,730",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
SENNETT RESIDENCE,"1,280,000",742.72,"1,723",Oct-23,PHENG GECK AVENUE,Resale,Strata,69,"18,551",-,Condominium,1,99 yrs lease commencing from 2011,13,Rest of Central Region,01 to 05
THE RIVERINE BY THE PARK,"2,520,000","1,205.57","2,090",Oct-23,KALLANG ROAD,Resale,Strata,112,"22,500",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
COSTA RHU,"1,535,000","1,011.82","1,517",Oct-23,RHU CROSS,Resale,Strata,94,"16,330",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
THE HILLIER,"980,000",678.13,"1,445",Oct-23,HILLVIEW RISE,Resale,Strata,63,"15,556",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
THE TAPESTRY,"780,000",473.62,"1,647",Oct-23,TAMPINES STREET 86,Resale,Strata,44,"17,727",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
CASA MERAH,"1,750,000","1,248.62","1,402",Oct-23,TANAH MERAH KECHIL AVENUE,Resale,Strata,116,"15,086",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,01 to 05
CHILTERN PARK,"1,810,000","1,270.15","1,425",Oct-23,SERANGOON AVENUE 3,Resale,Strata,118,"15,339",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,01 to 05
D'NEST,"740,000",484.38,"1,528",Oct-23,PASIR RIS GROVE,Resale,Strata,45,"16,444",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
THE GLADES,"1,310,000",721.19,"1,816",Oct-23,BEDOK RISE,Resale,Strata,67,"19,552",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,11 to 15
RAFFLESIA CONDOMINIUM,"1,860,000","1,194.8","1,557",Oct-23,BISHAN STREET 21,Resale,Strata,111,"16,757",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20
ASTORIA PARK,"1,570,000","1,173.28","1,338",Oct-23,LORONG MYDIN,Resale,Strata,109,"14,404",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,11 to 15
KOVAN REGENCY,"2,880,000","1,743.77","1,652",Oct-23,KOVAN RISE,Resale,Strata,162,"17,778",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
D'LEEDON,"4,128,000","2,152.8","1,918",Oct-23,LEEDON HEIGHTS,Resale,Strata,200,"20,640",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,21 to 25
TREASURE AT TAMPINES,"795,000",462.85,"1,718",Oct-23,TAMPINES LANE,Sub Sale,Strata,43,"18,488",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THOMSON GROVE,"2,220,000","1,485.43","1,495",Oct-23,YIO CHU KANG ROAD,Resale,Strata,138,"16,087",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
ONE DRAYCOTT,"2,200,000",731.95,"3,006",Oct-23,DRAYCOTT PARK,Resale,Strata,68,"32,353",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
TREASURE AT TAMPINES,"1,188,000",678.13,"1,752",Oct-23,TAMPINES LANE,Sub Sale,Strata,63,"18,857",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
PARK COLONIAL,"985,000",462.85,"2,128",Oct-23,WOODLEIGH LANE,Resale,Strata,43,"22,907",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,720,000","1,065.64","1,614",Oct-23,HOUGANG AVENUE 7,Sub Sale,Strata,99,"17,374",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
BARTLEY RIDGE,"1,450,000",828.83,"1,749",Oct-23,MOUNT VERNON ROAD,Resale,Strata,77,"18,831",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,16 to 20
OPTIMA @ TANAH MERAH,"1,250,000",914.94,"1,366",Oct-23,TANAH MERAH KECHIL AVENUE,Resale,Strata,85,"14,706",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,01 to 05
ONE CLAYMORE,"3,080,000","1,969.81","1,564",Oct-23,CLAYMORE DRIVE,Resale,Strata,183,"16,831",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
ICON,"2,225,000","1,119.46","1,988",Oct-23,GOPENG STREET,Resale,Strata,104,"21,394",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,41 to 45
STIRLING RESIDENCES,"1,600,000",688.9,"2,323",Oct-23,STIRLING ROAD,Resale,Strata,64,"25,000",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
CASABLANCA,"980,000",925.7,"1,059",Oct-23,ROSEWOOD DRIVE,Resale,Strata,86,"11,395",-,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,11 to 15
ONE DRAYCOTT,"2,100,000",731.95,"2,869",Oct-23,DRAYCOTT PARK,Resale,Strata,68,"30,882",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
PARVIS,"2,395,000",990.29,"2,418",Oct-23,HOLLAND HILL,Resale,Strata,92,"26,033",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
AFFINITY AT SERANGOON,"1,360,000",753.48,"1,805",Oct-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,70,"19,429",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
DAHLIA PARK CONDOMINIUM,"1,828,000","1,786.82","1,023",Oct-23,FLORA DRIVE,Resale,Strata,166,"11,012",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
CHATEAU LE FAME,"1,610,000",839.59,"1,918",Oct-23,EWE BOON ROAD,Resale,Strata,78,"20,641",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
SEASIDE RESIDENCES,"1,180,000",505.91,"2,332",Oct-23,SIGLAP LINK,Resale,Strata,47,"25,106",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,11 to 15
PARC RIVIERA,"790,000",462.85,"1,707",Oct-23,WEST COAST VALE,Resale,Strata,43,"18,372",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,31 to 35
URBAN VISTA,"860,000",624.31,"1,378",Oct-23,TANAH MERAH KECHIL LINK,Resale,Strata,58,"14,828",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
