Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE PALETTE,"1,638,888","1,065.64","1,538",Dec-24,PASIR RIS GROVE,Resale,Strata,99,"16,554",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
D'LEEDON,"2,130,000","1,011.82","2,105",Dec-24,LEEDON HEIGHTS,Resale,Strata,94,"22,660",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,11 to 15
TRILIVE,"1,648,000",882.65,"1,867",Dec-24,TAMPINES ROAD,Resale,Strata,82,"20,098",-,Condominium,1,Freehold,19,Outside Central Region,06 to 10
PARC BOTANNIA,"1,368,000",871.88,"1,569",Dec-24,FERNVALE STREET,Resale,Strata,81,"16,889",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,06 to 10
AVENUE SOUTH RESIDENCE,"1,585,000",688.9,"2,301",Dec-24,SILAT AVENUE,Resale,Strata,64,"24,766",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,26 to 30
RIPPLE BAY,"1,160,000",764.24,"1,518",Dec-24,PASIR RIS LINK,Resale,Strata,71,"16,338",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,01 to 05
GRANDEUR 8,"1,880,000","1,259.39","1,493",Dec-24,ANG MO KIO CENTRAL 3,Resale,Strata,117,"16,068",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,11 to 15
THE HILL @ONE-NORTH,"1,955,000",753.48,"2,595",Dec-24,SLIM BARRACKS RISE,New Sale,Strata,70,"27,929",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,06 to 10
THE COLLECTIVE AT ONE SOPHIA,"1,270,000",452.09,"2,809",Dec-24,SOPHIA ROAD,New Sale,Strata,42,"30,238",-,Apartment,1,99 yrs lease commencing from 2023,09,Core Central Region,16 to 20
HILLOCK GREEN,"2,927,000","1,323.97","2,211",Dec-24,LENTOR CENTRAL,New Sale,Strata,123,"23,797",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20
HILLOCK GREEN,"2,547,000","1,184.04","2,151",Dec-24,LENTOR CENTRAL,New Sale,Strata,110,"23,155",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,06 to 10
ASPEN HEIGHTS,"2,490,000","1,130.22","2,203",Dec-24,RIVER VALLEY ROAD,Resale,Strata,105,"23,714",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
PINETREE HILL,"2,990,000","1,216.33","2,458",Dec-24,PINE GROVE,New Sale,Strata,113,"26,460",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20
CRESCENDO BUILDING,"1,628,000","1,173.28","1,388",Dec-24,UPPER EAST COAST ROAD,Resale,Strata,109,"14,936",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
LENTOR HILLS RESIDENCES,"1,392,000",581.26,"2,395",Dec-24,LENTOR HILLS ROAD,New Sale,Strata,54,"25,778",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20
NAVA GROVE,"3,129,600","1,334.74","2,345",Dec-24,PINE GROVE,New Sale,Strata,124,"25,239",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,01 to 05
