Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
SILVERSEA,"1,880,000","1,065.64","1,764",May-22,MARINE PARADE ROAD,Resale,Strata,99,"18,990",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,16 to 20,1.2999959193995,103.903100616491,50 MARINE PARADE ROAD SILVERSEA SINGAPORE 449307,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
COTE D'AZUR,"2,240,000","1,388.56","1,613",May-22,MARINE PARADE ROAD,Resale,Strata,129,"17,364",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,06 to 10,1.30020054263455,103.903969872762,68 MARINE PARADE ROAD COTE D'AZUR SINGAPORE 449301,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
THE MAKENA,"2,950,000","1,646.89","1,791",May-22,MEYER ROAD,Resale,Strata,153,"19,281",-,Condominium,1,Freehold,15,Rest of Central Region,26 to 30,1.2976926630287,103.89444607007,121 MEYER ROAD THE MAKENA SINGAPORE 437932,TANJONG KATONG MRT STATION; KATONG PARK MRT STATION,,
STRAITS RESIDENCES,"1,200,000",871.88,"1,376",May-22,JOO CHIAT PLACE,Resale,Strata,81,"14,815",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,1.31355578639069,103.904517013271,156 JOO CHIAT PLACE STRAITS RESIDENCES SINGAPORE 427884,EUNOS MRT STATION,Eunos Crescent Blk 4A; Geylang Serai Market; Dunman Food Centre,Katong Square; i12 Katong
MEYER RESIDENCE,"1,720,000",904.18,"1,902",May-22,MEYER PLACE,Resale,Strata,84,"20,476",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,1.29858791034804,103.88619459663,3 MEYER PLACE MEYER RESIDENCE SINGAPORE 437991,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),
FULCRUM,"1,668,000",828.83,"2,012",May-22,FORT ROAD,Resale,Strata,77,"21,662",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,1.29868831359876,103.884853403453,33 FORT ROAD FULCRUM SINGAPORE 439092,KATONG PARK MRT STATION; MOUNTBATTEN MRT STATION,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market); Kallang Estate Fresh Market and Food Centre,
KATONG GARDENS,"2,710,000","1,948.28","1,391",May-22,TEMBELING ROAD,Resale,Strata,181,"14,972",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1.30875505812227,103.905636959211,235 TEMBELING ROAD KATONG GARDENS SINGAPORE 423720,MARINE PARADE MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre); Dunman Food Centre,Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
SILVERSEA,"2,770,000","1,485.43","1,865",May-22,MARINE PARADE ROAD,Resale,Strata,138,"20,072",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,06 to 10,1.2999959193995,103.903100616491,50 MARINE PARADE ROAD SILVERSEA SINGAPORE 449307,MARINE PARADE MRT STATION; TANJONG KATONG MRT STATION,Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),Katong Shopping Centre; Katong Square; i12 Katong; Parkway Parade; Roxy Square
CUBIK,"800,000",484.38,"1,652",May-22,LORONG K TELOK KURAU,Resale,Strata,45,"17,778",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31343809193913,103.91201252096,81 LORONG K TELOK KURAU CUBIK SINGAPORE 425711,MARINE TERRACE MRT STATION; KEMBANGAN MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
MELINIA COURT,"910,000",731.95,"1,243",May-22,LORONG M TELOK KURAU,Resale,Strata,68,"13,382",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1.31079892499905,103.91290436723,56 LORONG M TELOK KURAU MELINIA COURT SINGAPORE 425354,MARINE TERRACE MRT STATION,Marine Terrace Blk 50A (50A Marine Terrace),
