Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km
PROMENADE PEAK,"1,569,700",527.44,"2,976",Aug-25,ZION PROMENADE,New Sale,Strata,49,"32,035",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,26 to 30,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
QUEENS PEAK,"1,058,000",484.38,"2,184",Aug-25,DUNDEE ROAD,Resale,Strata,45,"23,511",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,16 to 20,1.294336667463,103.807020127351,3 DUNDEE ROAD QUEENS PEAK SINGAPORE 149457,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
HIGHLINE RESIDENCES,"2,400,000","1,130.22","2,123",Aug-25,KIM TIAN ROAD,Resale,Strata,105,"22,857",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,01 to 05,1.28416577731538,103.829816710958,11 KIM TIAN ROAD HIGHLINE RESIDENCES SINGAPORE 168594,TIONG BAHRU MRT STATION; HAVELOCK MRT STATION,Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
PROMENADE PEAK,"2,985,400","1,033.34","2,889",Aug-25,ZION PROMENADE,New Sale,Strata,96,"31,098",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,21 to 25,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
PROMENADE PEAK,"2,479,600",785.77,"3,156",Aug-25,ZION PROMENADE,New Sale,Strata,73,"33,967",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,36 to 40,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
STIRLING RESIDENCES,"1,818,888",904.18,"2,012",Aug-25,STIRLING ROAD,Resale,Strata,84,"21,653",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,36 to 40,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
STIRLING RESIDENCES,"1,530,000",656.6,"2,330",Aug-25,STIRLING ROAD,Resale,Strata,61,"25,082",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,36 to 40,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
PROMENADE PEAK,"1,548,000",527.44,"2,935",Aug-25,ZION PROMENADE,New Sale,Strata,49,"31,592",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,21 to 25,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
AVENUE SOUTH RESIDENCE,"1,678,000",688.9,"2,436",Aug-25,SILAT AVENUE,Resale,Strata,64,"26,219",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,36 to 40,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
COMMONWEALTH TOWERS,"2,150,000",904.18,"2,378",Aug-25,COMMONWEALTH AVENUE,Resale,Strata,84,"25,595",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,11 to 15,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
RIVIERE,"3,600,000","1,216.33","2,960",Aug-25,JIAK KIM STREET,Resale,Strata,113,"31,858",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,06 to 10,1.3546911714716,103.875392408709,19B LIM TUA TOW ROAD CASA RIVIERA SINGAPORE 547802,SERANGOON MRT STATION; SERANGOON MRT STATION,,NEX; Upper Serangoon Shopping Centre
ECHELON,"3,280,000","1,571.54","2,087",Aug-25,ALEXANDRA VIEW,Resale,Strata,146,"22,466",-,Condominium,1,99 yrs lease commencing from 2012,3,Rest of Central Region,26 to 30,1.29060694545576,103.817866920135,9 ALEXANDRA VIEW ECHELON SINGAPORE 158742,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),
STIRLING RESIDENCES,"1,775,000",678.13,"2,617",Aug-25,STIRLING ROAD,Resale,Strata,63,"28,175",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,31 to 35,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
COMMONWEALTH TOWERS,"2,588,000","1,076.4","2,404",Aug-25,COMMONWEALTH AVENUE,Resale,Strata,100,"25,880",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,16 to 20,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
PROMENADE PEAK,"5,313,100","1,582.31","3,358",Aug-25,ZION PROMENADE,New Sale,Strata,147,"36,144",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,46 to 50,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
PRINCIPAL GARDEN,"1,711,000",785.77,"2,177",Aug-25,PRINCE CHARLES CRESCENT,Resale,Strata,73,"23,438",-,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,16 to 20,1.29237506748178,103.822836693912,99 PRINCE CHARLES CRESCENT PRINCIPAL GARDEN SINGAPORE 159029,REDHILL MRT STATION; TIONG BAHRU MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
PROMENADE PEAK,"2,041,900",667.37,"3,060",Aug-25,ZION PROMENADE,New Sale,Strata,62,"32,934",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,31 to 35,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
MARGARET VILLE,"1,110,000",527.44,"2,105",Aug-25,MARGARET DRIVE,Resale,Strata,49,"22,653",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,1.2995172080842,103.802806930224,20 MARGARET DRIVE MARGARET VILLE SINGAPORE 149312,COMMONWEALTH MRT STATION; QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Commonwealth Crescent Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
CENTRAL GREEN CONDOMINIUM,"1,562,800",947.23,"1,650",Aug-25,JALAN MEMBINA,Resale,Strata,88,"17,759",-,Condominium,1,99 yrs lease commencing from 1992,3,Rest of Central Region,01 to 05,1.28519576156367,103.827677219577,1 JALAN MEMBINA CENTRAL GREEN CONDOMINIUM SINGAPORE 169479,TIONG BAHRU MRT STATION; HAVELOCK MRT STATION,Zion Riverside Food Centre; Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
EMERALD PARK,"1,455,000",925.7,"1,572",Aug-25,INDUS ROAD,Resale,Strata,86,"16,919",-,Condominium,1,99 yrs lease commencing from 1991,3,Rest of Central Region,01 to 05,1.28975290405411,103.83034971382,4 INDUS ROAD EMERALD PARK SINGAPORE 169587,HAVELOCK MRT STATION; TIONG BAHRU MRT STATION; GREAT WORLD MRT STATION,Zion Riverside Food Centre; Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
THE METROPOLITAN CONDOMINIUM,"3,275,000","1,733","1,890",Aug-25,ALEXANDRA VIEW,Resale,Strata,161,"20,342",-,Condominium,1,99 yrs lease commencing from 2006,3,Rest of Central Region,01 to 05,1.2904773422307,103.81601645096,8 ALEXANDRA VIEW THE METROPOLITAN CONDOMINIUM SINGAPORE 158747,REDHILL MRT STATION,Redhill Lane Blk 85 (Redhill Food Centre); Redhill Lane Blk 79 (Redhill Market); Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre); Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre); Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),
PROMENADE PEAK,"3,052,600","1,076.4","2,836",Aug-25,ZION PROMENADE,New Sale,Strata,100,"30,526",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,06 to 10,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
STIRLING RESIDENCES,"1,014,000",441.32,"2,298",Aug-25,STIRLING ROAD,Resale,Strata,41,"24,732",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,11 to 15,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
PROMENADE PEAK,"1,413,067",527.44,"2,679",Aug-25,ZION PROMENADE,New Sale,Strata,49,"28,838",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,06 to 10,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
PROMENADE PEAK,"4,747,600","1,420.85","3,341",Aug-25,ZION PROMENADE,New Sale,Strata,132,"35,967",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,51 to 55,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
QUEENS,"2,200,888","1,194.8","1,842",Aug-25,STIRLING ROAD,Resale,Strata,111,"19,828",-,Condominium,1,99 yrs lease commencing from 1998,3,Rest of Central Region,36 to 40,1.29299604681606,103.805665563173,10 STIRLING ROAD QUEENS SINGAPORE 148954,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre); Mei Chin Road Blk 159 (Mei Chin Road Market); Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Alexandra Central; Anchorpoint; Queensway Shopping Centre
STIRLING RESIDENCES,"1,838,000",764.24,"2,405",Aug-25,STIRLING ROAD,Resale,Strata,71,"25,887",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
STIRLING RESIDENCES,"1,400,000",656.6,"2,132",Aug-25,STIRLING ROAD,Resale,Strata,61,"22,951",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
AVENUE SOUTH RESIDENCE,"1,350,000",656.6,"2,056",Aug-25,SILAT AVENUE,Resale,Strata,61,"22,131",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,16 to 20,1.27662953410733,103.829105212029,11 SILAT AVENUE AVENUE SOUTH RESIDENCE SINGAPORE 168877,KEPPEL MRT STATION; CANTONMENT MRT STATION,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market); Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market,
PROMENADE PEAK,"1,780,837",656.6,"2,712",Aug-25,ZION PROMENADE,New Sale,Strata,61,"29,194",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,01 to 05,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
PROMENADE PEAK,"1,481,700",527.44,"2,809",Aug-25,ZION PROMENADE,New Sale,Strata,49,"30,239",-,Condominium,1,99 yrs lease commencing from 2024,3,Rest of Central Region,11 to 15,1.29157008048749,103.833142480825,1 ZION PROMENADE PROMENADE PEAK (U/C) SINGAPORE 169564,GREAT WORLD MRT STATION; HAVELOCK MRT STATION; TIONG BAHRU MRT STATION,Zion Riverside Food Centre; Jalan Kukoh Blk 1 (Kukoh 21 Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Great World City; Tiong Bahru Plaza
COMMONWEALTH TOWERS,"905,000",473.62,"1,911",Aug-25,COMMONWEALTH AVENUE,Resale,Strata,44,"20,568",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,01 to 05,1.29573433474414,103.806030198974,230 COMMONWEALTH AVENUE COMMONWEALTH TOWERS SINGAPORE 149739,QUEENSTOWN MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Mei Chin Road Blk 159 (Mei Chin Road Market),Alexandra Central; Anchorpoint; Queensway Shopping Centre
RIVIERE,"6,050,000","2,002.1","3,022",Aug-25,JIAK KIM STREET,Resale,Strata,186,"32,527",-,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,06 to 10,1.3546911714716,103.875392408709,19B LIM TUA TOW ROAD CASA RIVIERA SINGAPORE 547802,SERANGOON MRT STATION; SERANGOON MRT STATION,,NEX; Upper Serangoon Shopping Centre
THE REGENCY AT TIONG BAHRU,"2,300,800",958,"2,402",Aug-25,CHAY YAN STREET,Resale,Strata,89,"25,852",-,Condominium,1,Freehold,3,Rest of Central Region,01 to 05,1.28186096037926,103.830562111061,36 CHAY YAN STREET THE REGENCY AT TIONG BAHRU SINGAPORE 169905,TIONG BAHRU MRT STATION; HAVELOCK MRT STATION; OUTRAM PARK MRT STATION; OUTRAM PARK MRT STATION,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre); Tiong Bahru Market; Beo Crescent Market; Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Tiong Bahru Plaza
STIRLING RESIDENCES,"1,750,000",764.24,"2,290",Aug-25,STIRLING ROAD,Resale,Strata,71,"24,648",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,01 to 05,1.29677202648703,103.800712927589,503 STIRLING ROAD MDIS RESIDENCES @ STIRLING SINGAPORE 148959,QUEENSTOWN MRT STATION; COMMONWEALTH MRT STATION,Margaret Drive Hawker Centre; Tanglin Halt Hawker Centre & Market; Tanglin Halt Market; Mei Chin Road Blk 159 (Mei Chin Road Market),
