Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Nearest MRT Stations,Nearby Hawker Centers,Shopping Malls Within Radius of 1km,Hospitals Within Radius of 5km,Schools Within Radius of 2km
CITYLIGHTS,"1,510,000",947.23,"1,594",Mar-23,JELLICOE ROAD,Resale,Strata,88.0,"17,159",-,Condominium,1,99 yrs lease commencing from 2004,8,Rest of Central Region,11 to 15,1.30827581228578,103.863117419778,80 JELLICOE ROAD CITYLIGHTS SINGAPORE 208766,LAVENDER MRT STATION; BENDEMEER MRT STATION; JALAN BESAR MRT STATION; NICOLL HIGHWAY MRT STATION; KALLANG MRT STATION,Berseh Food Centre; Golden Mile Food Centre; North Bridge Road Market,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. MARGARET'S SCHOOL (PRIMARY)
CITYLIGHTS,"1,580,000",871.88,"1,812",Mar-23,JELLICOE ROAD,Resale,Strata,81.0,"19,506",-,Condominium,1,99 yrs lease commencing from 2004,8,Rest of Central Region,06 to 10,1.30827581228578,103.863117419778,80 JELLICOE ROAD CITYLIGHTS SINGAPORE 208766,LAVENDER MRT STATION; BENDEMEER MRT STATION; JALAN BESAR MRT STATION; NICOLL HIGHWAY MRT STATION; KALLANG MRT STATION,Berseh Food Centre; Golden Mile Food Centre; North Bridge Road Market,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. MARGARET'S SCHOOL (PRIMARY)
VANADIUM,"1,650,000","1,033.34","1,597",Mar-23,HERTFORD ROAD,Resale,Strata,96.0,"17,188",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.31274690453463,103.847597879821,7 HERTFORD ROAD VANADIUM SINGAPORE 219405,LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; FARRER PARK MRT STATION; NOVENA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Newton Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Tekka Centre; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
THE URBANITE,"1,040,000",656.6,"1,584",Mar-23,HERTFORD ROAD,Resale,Strata,61.0,"17,049",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.31351026234071,103.848372065079,29 HERTFORD ROAD THE URBANITE SINGAPORE 219384,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; NOVENA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Newton Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Tekka Centre; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITYLIGHTS,"1,220,000",678.13,"1,799",Mar-23,JELLICOE ROAD,Resale,Strata,63.0,"19,365",-,Condominium,1,99 yrs lease commencing from 2004,8,Rest of Central Region,16 to 20,1.30827581228578,103.863117419778,80 JELLICOE ROAD CITYLIGHTS SINGAPORE 208766,LAVENDER MRT STATION; BENDEMEER MRT STATION; JALAN BESAR MRT STATION; NICOLL HIGHWAY MRT STATION; KALLANG MRT STATION,Berseh Food Centre; Golden Mile Food Centre; North Bridge Road Market,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. MARGARET'S SCHOOL (PRIMARY)
PICCADILLY GRAND,"3,086,000","1,582.31","1,950",Mar-23,NORTHUMBERLAND ROAD,New Sale,Strata,147.0,"20,993",-,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,06 to 10,1.311250279155,103.852455288833,3 NORTHUMBERLAND ROAD PICCADILLY GRAND (U/C) SINGAPORE 219569,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; ROCHOR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
PICCADILLY GRAND,"2,863,000","1,377.79","2,078",Mar-23,NORTHUMBERLAND ROAD,New Sale,Strata,128.0,"22,367",-,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,16 to 20,1.311250279155,103.852455288833,3 NORTHUMBERLAND ROAD PICCADILLY GRAND (U/C) SINGAPORE 219569,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; ROCHOR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
PICCADILLY GRAND,"2,827,000","1,377.79","2,052",Mar-23,NORTHUMBERLAND ROAD,New Sale,Strata,128.0,"22,086",-,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,11 to 15,1.311250279155,103.852455288833,3 NORTHUMBERLAND ROAD PICCADILLY GRAND (U/C) SINGAPORE 219569,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; ROCHOR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
HERTFORD MANSION,"1,550,000","1,259.39","1,231",Mar-23,BRISTOL ROAD,Resale,Strata,117.0,"13,248",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.3128109735379,103.848314426322,18 HERTFORD ROAD HERTFORD MANSION SINGAPORE 219380,LITTLE INDIA MRT STATION; FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; NOVENA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Newton Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Tekka Centre; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER SECONDARY SCHOOL; CATHOLIC JUNIOR COLLEGE; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
OXFORD SUITES,"1,750,000","1,140.98","1,534",Mar-23,OXFORD ROAD,Resale,Strata,106.0,"16,509",-,Apartment,1,Freehold,8,Rest of Central Region,11 to 15,1.31554373964709,103.852489365428,21 OXFORD ROAD OXFORD SUITES SINGAPORE 218817,FARRER PARK MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
SOHO @ FARRER,"1,370,000","1,011.82","1,354",Feb-23,RACE COURSE ROAD,Resale,Strata,94.0,"14,574",-,Apartment,1,Freehold,8,Rest of Central Region,06 to 10,1.31076356002808,103.852952752941,172 RACE COURSE ROAD SOHO @ FARRER SINGAPORE 218605,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; ROCHOR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
CITY SQUARE RESIDENCES,"1,640,000",861.12,"1,904",Feb-23,KITCHENER LINK,Resale,Strata,80.0,"20,500",-,Condominium,1,Freehold,8,Rest of Central Region,11 to 15,1.31110535846664,103.857479860813,2 KITCHENER LINK CITY SQUARE RESIDENCES SINGAPORE 207229,FARRER PARK MRT STATION; JALAN BESAR MRT STATION; BENDEMEER MRT STATION; LAVENDER MRT STATION; ROCHOR MRT STATION; LITTLE INDIA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; North Bridge Road Market; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Aperia; City Square Mall; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
PICCADILLY GRAND,"3,424,000","1,679.18","2,039",Feb-23,NORTHUMBERLAND ROAD,New Sale,Strata,156.0,"21,949",-,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,21 to 25,1.311250279155,103.852455288833,3 NORTHUMBERLAND ROAD PICCADILLY GRAND (U/C) SINGAPORE 219569,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; ROCHOR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
PICCADILLY GRAND,"2,524,000","1,356.26","1,861",Feb-23,NORTHUMBERLAND ROAD,New Sale,Strata,126.0,"20,032",-,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,21 to 25,1.311250279155,103.852455288833,3 NORTHUMBERLAND ROAD PICCADILLY GRAND (U/C) SINGAPORE 219569,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; ROCHOR MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
KENTISH GREEN,"1,300,000","1,076.4","1,208",Feb-23,OXFORD ROAD,Resale,Strata,100.0,"13,000",-,Apartment,1,99 yrs lease commencing from 1995,8,Rest of Central Region,01 to 05,1.31559997820356,103.851787324083,20 OXFORD ROAD KENTISH GREEN SINGAPORE 218815,FARRER PARK MRT STATION,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre); Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market); Cambridge Road Blk 41A (Pek Kio Market and Food Centre),City Square Mall; United Square; Velocity@Novena Square,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (BARKER ROAD); ANGLO-CHINESE SCHOOL (JUNIOR); ANGLO-CHINESE SCHOOL (PRIMARY); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
STURDEE RESIDENCES,"1,540,000",828.83,"1,858",Feb-23,BEATTY ROAD,Resale,Strata,77.0,"20,000",-,Condominium,1,99 yrs lease commencing from 2015,8,Rest of Central Region,01 to 05,1.31291695250751,103.859047068258,10 BEATTY ROAD STURDEE RESIDENCES SINGAPORE 209955,BENDEMEER MRT STATION; FARRER PARK MRT STATION; LAVENDER MRT STATION; BOON KENG MRT STATION; JALAN BESAR MRT STATION,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre); Berseh Food Centre; North Bridge Road Market,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
STURDEE RESIDENCES,"2,030,000","1,033.34","1,964",Feb-23,BEATTY ROAD,Resale,Strata,96.0,"21,146",-,Condominium,1,99 yrs lease commencing from 2015,8,Rest of Central Region,21 to 25,1.31291695250751,103.859047068258,10 BEATTY ROAD STURDEE RESIDENCES SINGAPORE 209955,BENDEMEER MRT STATION; FARRER PARK MRT STATION; LAVENDER MRT STATION; BOON KENG MRT STATION; JALAN BESAR MRT STATION,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre); Berseh Food Centre; North Bridge Road Market,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
STURDEE RESIDENCES,"865,000",419.8,"2,061",Feb-23,BEATTY ROAD,Resale,Strata,39.0,"22,179",-,Condominium,1,99 yrs lease commencing from 2015,8,Rest of Central Region,21 to 25,1.31291695250751,103.859047068258,10 BEATTY ROAD STURDEE RESIDENCES SINGAPORE 209955,BENDEMEER MRT STATION; FARRER PARK MRT STATION; LAVENDER MRT STATION; BOON KENG MRT STATION; JALAN BESAR MRT STATION,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre); Berseh Food Centre; North Bridge Road Market,Aperia; City Square Mall,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
CITY SQUARE RESIDENCES,"2,260,000","1,205.57","1,875",Feb-23,KITCHENER LINK,Resale,Strata,112.0,"20,179",-,Condominium,1,Freehold,8,Rest of Central Region,16 to 20,1.31110535846664,103.857479860813,2 KITCHENER LINK CITY SQUARE RESIDENCES SINGAPORE 207229,FARRER PARK MRT STATION; JALAN BESAR MRT STATION; BENDEMEER MRT STATION; LAVENDER MRT STATION; ROCHOR MRT STATION; LITTLE INDIA MRT STATION,Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; North Bridge Road Market; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Aperia; City Square Mall; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY)
28 RC SUITES,"760,000",441.32,"1,722",Feb-23,RACE COURSE LANE,Resale,Strata,41.0,"18,537",-,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,1.3099817921347,103.852952005462,28 RACE COURSE LANE 28 RC SUITES SINGAPORE 218746,FARRER PARK MRT STATION; LITTLE INDIA MRT STATION; JALAN BESAR MRT STATION; LITTLE INDIA MRT STATION; ROCHOR MRT STATION,Queen Street Blk 270 (Albert Centre); Cambridge Road Blk 41A (Pek Kio Market and Food Centre); Berseh Food Centre; Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),City Square Mall; Sim Lim Square; Tekka Centre,Changi General Hospital; KK Women's and Children's Hospital; Singapore General Hospital; Tan Tock Seng Hospital; Mount Alvernia Hospital; Crawfurd Hospital; Farrer Park Hospital; Gleneagles Hospital; Mount Elizabeth Hospital; Mount Elizabeth Novena Hospital; Raffles Hospital; Thomson Medical Centre; Outram Community Hospital; Ren Ci Community Hospital,ANGLO-CHINESE SCHOOL (JUNIOR); BENDEMEER PRIMARY SCHOOL; BENDEMEER SECONDARY SCHOOL; FARRER PARK PRIMARY SCHOOL; HONG WEN SCHOOL; NORTHLIGHT SCHOOL; SINGAPORE CHINESE GIRLS' SCHOOL; ST. JOSEPH'S INSTITUTION; ST. JOSEPH'S INSTITUTION JUNIOR; ST. MARGARET'S SCHOOL (PRIMARY); TAO NAN SCHOOL
