Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RAFFLESIA CONDOMINIUM,"1,400,000",914.94,"1,530",Jun-25,BISHAN STREET 21,Resale,Strata,85,"16,471",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
NAVA GROVE,"3,949,100","1,550.02","2,548",Jun-25,PINE GROVE,New Sale,Strata,144,"27,424",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
THE LAKEFRONT RESIDENCES,"1,310,000",721.19,"1,816",Jun-25,LAKESIDE DRIVE,Resale,Strata,67,"19,552",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,06 to 10
THE MILTONIA RESIDENCES,"988,888",839.59,"1,178",Jun-25,MILTONIA CLOSE,Resale,Strata,78,"12,678",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
PARK PLACE RESIDENCES AT PLQ,"1,550,000",667.37,"2,323",Jun-25,PAYA LEBAR ROAD,Resale,Strata,62,"25,000",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,06 to 10
THE QUAYSIDE,"2,150,000","1,345.5","1,598",Jun-25,ROBERTSON QUAY,Resale,Strata,125,"17,200",-,Apartment,1,99 yrs lease commencing from 1994,09,Core Central Region,01 to 05
PARKTOWN RESIDENCE,"3,061,000","1,334.74","2,293",Jun-25,TAMPINES STREET 62,New Sale,Strata,124,"24,685",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
KOPAR AT NEWTON,"1,580,000",613.55,"2,575",Jun-25,MAKEWAY AVENUE,Resale,Strata,57,"27,719",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,01 to 05
RIVERSAILS,"1,285,000",882.65,"1,456",Jun-25,UPPER SERANGOON CRESCENT,Resale,Strata,82,"15,671",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
NOVENA COURT,"1,420,000",861.12,"1,649",Jun-25,JALAN NOVENA BARAT,Resale,Strata,80,"17,750",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,700,000",936.47,"1,815",Jun-25,HOUGANG AVENUE 2,Resale,Strata,87,"19,540",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
PASIR RIS 8,"1,610,000",775.01,"2,077",Jun-25,PASIR RIS DRIVE 8,Sub Sale,Strata,72,"22,361",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
THE MINTON,"1,738,000","1,087.16","1,599",Jun-25,HOUGANG STREET 11,Resale,Strata,101,"17,208",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
THE MAKENA,"3,450,000","1,636.13","2,109",Jun-25,MEYER ROAD,Resale,Strata,152,"22,697",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE WOODLEIGH RESIDENCES,"1,250,000",592.02,"2,111",Jun-25,BIDADARI PARK DRIVE,Sub Sale,Strata,55,"22,727",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05
WANG LODGE,"1,250,000","1,011.82","1,235",Jun-25,LORONG 4 GEYLANG,Resale,Strata,94,"13,298",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
A TREASURE TROVE,"1,468,800",914.94,"1,605",Jun-25,PUNGGOL WALK,Resale,Strata,85,"17,280",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
PALM OASIS,"1,185,000",742.72,"1,595",Jun-25,LORONG H TELOK KURAU,Resale,Strata,69,"17,174",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CHANGI COURT,"1,308,000",968.76,"1,350",Jun-25,UPPER CHANGI ROAD EAST,Resale,Strata,90,"14,533",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
ICON,"1,040,000",570.49,"1,823",Jun-25,GOPENG STREET,Resale,Strata,53,"19,623",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,21 to 25
ALEXIS,"1,018,888",602.78,"1,690",Jun-25,ALEXANDRA ROAD,Resale,Strata,56,"18,194",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
ROYAL HALLMARK,"2,828,000","1,291.68","2,189",Jun-25,HAIG LANE,Sub Sale,Strata,120,"23,567",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
# 1 LOFT,"750,000",559.73,"1,340",Jun-25,LORONG 24 GEYLANG,Resale,Strata,52,"14,423",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"2,380,000","1,237.86","1,923",Jun-25,OCEAN WAY,Resale,Strata,115,"20,696",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
THE TRIZON,"4,300,000","1,894.46","2,270",Jun-25,RIDGEWOOD CLOSE,Resale,Strata,176,"24,432",-,Condominium,1,Freehold,10,Core Central Region,16 to 20
WINDY HEIGHTS,"3,550,000","2,475.72","1,434",Jun-25,JALAN DAUD,Resale,Strata,230,"15,435",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
SYMPHONY SUITES,"940,000",688.9,"1,365",Jun-25,YISHUN CLOSE,Resale,Strata,64,"14,688",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
