Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BULLION PARK,"1,520,000","1,259.39","1,207",Dec-20,LENTOR LOOP,Resale,Strata,117,"12,991",-,Condominium,1,Freehold,26,Outside Central Region,11 to 15
SELANTING GREEN,"1,600,000","1,528.49","1,047",Dec-20,JALAN SELANTING,Resale,Strata,142,"11,268",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
WEST BAY CONDOMINIUM,"798,000",850.36,938,Dec-20,WEST COAST CRESCENT,Resale,Strata,79,"10,101",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
WATERVIEW,"820,000",785.77,"1,044",Dec-20,TAMPINES AVENUE 1,Resale,Strata,73,"11,233",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
PAVILION 11,"2,400,000","1,485.43","1,616",Dec-20,AKYAB ROAD,Resale,Strata,138,"17,391",-,Condominium,1,Freehold,11,Core Central Region,21 to 25
PARK INFINIA AT WEE NAM,"2,250,000","1,130.22","1,991",Dec-20,LINCOLN ROAD,Resale,Strata,105,"21,429",-,Condominium,1,Freehold,11,Core Central Region,06 to 10
STARS OF KOVAN,"1,188,000",742.72,"1,600",Dec-20,UPPER SERANGOON ROAD,Sub Sale,Strata,69,"17,217",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
SANT RITZ,"740,000",527.44,"1,403",Dec-20,PHENG GECK AVENUE,Resale,Strata,49,"15,102",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
RIVIERE,"3,131,280","1,248.62","2,508",Dec-20,JIAK KIM STREET,New Sale,Strata,116,"26,994",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,11 to 15
MARTIN MODERN,"3,704,000","1,420.85","2,517",Dec-20,MARTIN PLACE,New Sale,Strata,132,"27,091","3,576,000",Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,06 to 10
WHISTLER GRAND,"1,864,800","1,280.92","1,456",Dec-20,WEST COAST VALE,New Sale,Strata,119,"15,671",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,26 to 30
WHISTLER GRAND,"992,000",613.55,"1,617",Dec-20,WEST COAST VALE,New Sale,Strata,57,"17,404",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,31 to 35
WHISTLER GRAND,"1,568,800","1,065.64","1,472",Dec-20,WEST COAST VALE,New Sale,Strata,99,"15,846",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,36 to 40
THE VERMONT ON CAIRNHILL,"2,970,000","1,410.08","2,106",Dec-20,CAIRNHILL RISE,Resale,Strata,131,"22,672",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
THE JOVELL,"704,000",527.44,"1,335",Dec-20,FLORA DRIVE,New Sale,Strata,49,"14,367",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
BISHAN PARK CONDOMINIUM,"1,420,000","1,345.5","1,055",Dec-20,SIN MING WALK,Resale,Strata,125,"11,360",-,Condominium,1,99 yrs lease commencing from 1991,20,Rest of Central Region,06 to 10
HAIG 162,"576,600",365.98,"1,576",Dec-20,HAIG ROAD,Resale,Strata,34,"16,959",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
KI RESIDENCES AT BROOKVALE,"2,097,000","1,194.8","1,755",Dec-20,BROOKVALE DRIVE,New Sale,Strata,111,"18,892",-,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,06 to 10
AMBER PARK,"1,855,710",742.72,"2,499",Dec-20,AMBER GARDENS,New Sale,Strata,69,"26,894",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
PALM GROVE CONDOMINIUM,"1,650,000","1,496.2","1,103",Dec-20,PALM GROVE AVENUE,Resale,Strata,139,"11,871",-,Condominium,1,999 yrs lease commencing from 1878,19,Outside Central Region,01 to 05
