Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Market Segment,Floor Level,Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2020,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km
SKY EVERTON,1375000.0,505.91,2718.0,2025-03-01,Resale,Strata,47.0,29255.0,Apartment,Freehold,2,Rest of Central Region,06 to 10,1.27588976787545,103.838151709122,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,1.6318014192389168,55.0,6,3,2,10,6,6
ICON,1168888.0,559.73,2088.0,2025-03-01,Resale,Strata,52.0,22479.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,21 to 25,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,55.0,9,4,3,9,3,6
INTERNATIONAL PLAZA,1850000.0,1603.84,1153.0,2025-03-01,Resale,Strata,149.0,12416.0,Apartment,99 yrs lease commencing from 1970,2,Core Central Region,41 to 45,1.27588674266836,103.845923793168,10 ANSON ROAD INTERNATIONAL PLAZA SINGAPORE 079903,0.968408308391458,55.0,12,5,4,9,3,8
ICON,1800000.0,1119.46,1608.0,2025-03-01,Resale,Strata,104.0,17308.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,41 to 45,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,55.0,9,4,3,9,3,6
ICON,990000.0,559.73,1769.0,2025-03-01,Resale,Strata,52.0,19038.0,Apartment,99 yrs lease commencing from 2002,2,Core Central Region,06 to 10,1.27516997577919,103.844496312645,10 GOPENG STREET ICON SINGAPORE 078878,1.1285007026643636,55.0,9,4,3,9,3,6
SKYSUITES@ANSON,900000.0,398.27,2260.0,2025-03-01,Resale,Strata,37.0,24324.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,16 to 20,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,55.0,9,4,3,8,3,6
SKY EVERTON,1880000.0,656.6,2863.0,2025-03-01,Resale,Strata,61.0,30820.0,Apartment,Freehold,2,Rest of Central Region,26 to 30,1.27588976787545,103.838151709122,50 EVERTON ROAD SKY EVERTON SINGAPORE 089396,1.6318014192389168,55.0,6,3,2,10,6,6
SPOTTISWOODE PARK,1250000.0,1270.15,984.0,2025-03-01,Resale,Strata,118.0,10593.0,Apartment,99 yrs lease commencing from 1976,2,Rest of Central Region,11 to 15,1.27524141291212,103.836045808088,101 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080101,1.872386501107952,55.0,5,1,2,9,6,3
WALLICH RESIDENCE,4880000.0,1679.18,2906.0,2025-03-01,Resale,Strata,156.0,31282.0,Apartment,99 yrs lease commencing from 2011,2,Core Central Region,46 to 50,1.27711736000318,103.845790152215,3 WALLICH STREET WALLICH RESIDENCE SINGAPORE 078882,0.8713769583307371,55.0,13,7,6,9,4,9
SKYSUITES@ANSON,930000.0,398.27,2335.0,2025-03-01,Resale,Strata,37.0,25135.0,Apartment,99 yrs lease commencing from 2008,2,Core Central Region,36 to 40,1.27464397804711,103.844741587315,8 ENGGOR STREET SKYSUITES@ANSON SINGAPORE 079718,1.157082586435758,55.0,9,4,3,8,3,6
