Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Area (SQM),Unit Price ($ PSM),Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
EUHABITAT,1050000.0,807.3,1301.0,2025-08-01,75.0,14000.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,1.0,2,2,0,2,6,15,1.0,1.0,1,2
D'GALLERY,1675000.0,1022.58,1638.0,2025-08-01,95.0,17632.0,1.31999864551861,103.912136345882,15 JALAN MASJID D' GALLERY SINGAPORE 418936,7.939182881901876,1.0,1,1,0,2,12,17,1.0,1.0,0,2
EUHABITAT,700000.0,527.44,1327.0,2025-08-01,49.0,14286.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,1.0,2,2,0,2,6,15,1.0,1.0,1,2
CASSIA VIEW,1950000.0,1205.57,1617.0,2025-08-01,112.0,17411.0,1.31103276112231,103.886630140814,320 GUILLEMARD ROAD CASSIA VIEW SINGAPORE 399746,5.033091805099718,1.0,4,2,1,7,11,5,3.0,1.0,0,1
ASTOR,1325000.0,1130.22,1172.0,2025-08-01,105.0,12619.0,1.32879593267373,103.912963648128,51C LENGKONG EMPAT ASTOR SINGAPORE 417660,8.55554984945014,1.0,3,1,0,2,7,14,2.0,1.0,0,2
PALMERA EAST,750000.0,430.56,1742.0,2025-08-01,40.0,18750.0,1.32088202092246,103.910092007142,29 LORONG MELAYU PALMERA EAST SINGAPORE 416914,7.797123839454816,1.0,2,1,0,2,12,15,1.0,1.0,0,2
PARC ESTA,965000.0,452.09,2135.0,2025-08-01,42.0,22976.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,1.0,1,4,0,1,13,16,3.0,1.0,0,1
PARC ESTA,2488000.0,1001.05,2485.0,2025-08-01,93.0,26753.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,1.0,1,4,0,1,13,16,4.0,1.0,0,1
SIMS DORADO,1330000.0,861.12,1545.0,2025-08-01,80.0,16625.0,1.31578022165817,103.890338973057,11 LORONG 39 GEYLANG SIMS DORADO SINGAPORE 387869,5.68381613917474,1.0,4,4,3,6,13,4,2.0,1.0,0,1
REZI 24,1168888.0,699.66,1671.0,2025-08-01,65.0,17983.0,1.31156422500946,103.883576001591,39 LORONG 24 GEYLANG REZI 24 SINGAPORE 398636,4.808294965951603,1.0,3,3,0,8,10,4,1.0,1.0,0,1
EUHABITAT,840000.0,613.55,1369.0,2025-08-01,57.0,14737.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,1.0,2,2,0,2,6,15,1.0,1.0,1,2
DAKOTA RESIDENCES,2050000.0,1022.58,2005.0,2025-08-01,95.0,21579.0,1.30637270876178,103.88708549006,34 DAKOTA CRESCENT DAKOTA RESIDENCES SINGAPORE 399936,4.7757251422267535,1.0,3,3,0,6,10,5,3.0,1.0,1,1
REZI 24,1280000.0,753.48,1699.0,2025-08-01,70.0,18286.0,1.31156422500946,103.883576001591,39 LORONG 24 GEYLANG REZI 24 SINGAPORE 398636,4.808294965951603,1.0,3,3,0,8,10,4,1.0,1.0,0,1
EUHABITAT,815000.0,559.73,1456.0,2025-08-01,52.0,15673.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,1.0,2,2,0,2,6,15,1.0,1.0,1,2
PARK PLACE RESIDENCES AT PLQ,1060000.0,484.38,2188.0,2025-08-01,45.0,23556.0,1.31583675363618,103.892746648427,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,5.896537427358871,1.0,3,3,3,4,12,6,4.0,1.0,0,1
SIMS URBAN OASIS,1960000.0,958.0,2046.0,2025-08-01,89.0,22022.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,1.0,3,4,0,8,9,1,2.0,1.0,1,1
PARC ESTA,1725028.0,742.72,2323.0,2025-08-01,69.0,25000.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,1.0,1,4,0,1,13,16,4.0,1.0,0,1
WING FONG MANSIONS,1290000.0,1237.86,1042.0,2025-08-01,115.0,11217.0,1.31057552074486,103.879078933752,12 LORONG 14 GEYLANG WING FONG MANSIONS SINGAPORE 398924,4.366074173360566,1.0,4,4,1,10,9,1,1.0,1.0,0,1
PENROSE,1348000.0,645.84,2087.0,2025-08-01,60.0,22467.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,4.0,,0,1
SUNNY LODGE,650000.0,398.27,1632.0,2025-08-01,37.0,17568.0,1.32438242964886,103.906966580799,6A LORONG SALLEH SUNNY LODGE SINGAPORE 416757,7.728747151239156,1.0,2,1,0,1,6,14,1.0,1.0,0,2
EUHABITAT,1498888.0,1130.22,1326.0,2025-08-01,105.0,14275.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,1.0,2,2,0,2,6,15,1.0,1.0,1,2
SIMS URBAN OASIS,2180000.0,1033.34,2110.0,2025-08-01,96.0,22708.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,1.0,3,4,0,8,9,1,3.0,1.0,1,1
PENROSE,1800000.0,807.3,2230.0,2025-08-01,75.0,24000.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,3.0,,0,1
STARVILLE,1738880.0,1237.86,1405.0,2025-08-01,115.0,15121.0,1.32826483616522,103.912067534158,66 LENGKONG TIGA STARVILLE SINGAPORE 417471,8.44041551036464,1.0,3,1,0,2,7,15,1.0,1.0,1,2
THE TRUMPS,1635000.0,1119.46,1461.0,2025-08-01,104.0,15721.0,1.32002610262337,103.91348728953,1 JALAN KEMBANGAN THE TRUMPS SINGAPORE 419154,8.069943599460245,1.0,1,0,0,2,12,18,1.0,1.0,1,2
TROPIKA EAST,1190000.0,731.95,1626.0,2025-08-01,68.0,17500.0,1.32886589161997,103.90719397756,3 FOO KIM LIN ROAD TROPIKA EAST SINGAPORE 419679,8.051842718239321,1.0,2,1,0,2,6,15,1.0,1.0,1,2
PENROSE,1750000.0,796.54,2197.0,2025-08-01,74.0,23649.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,4.0,,0,1
SIMS URBAN OASIS,1888888.0,958.0,1972.0,2025-08-01,89.0,21223.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,1.0,3,4,0,8,9,1,2.0,1.0,1,1
CASA AERATA,940000.0,602.78,1559.0,2025-08-01,56.0,16786.0,1.31232393794378,103.885033090499,9 LORONG 26 GEYLANG CASA AERATA SINGAPORE 398484,4.985931367630484,1.0,4,4,1,7,11,4,2.0,1.0,0,1
PENROSE,1680000.0,807.3,2081.0,2025-08-01,75.0,22400.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,1.0,,0,1
SIMS URBAN OASIS,2050000.0,1065.64,1924.0,2025-08-01,99.0,20707.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,1.0,3,4,0,8,9,1,1.0,1.0,1,1
PENROSE,2638000.0,1184.04,2228.0,2025-08-01,110.0,23982.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,4.0,,0,1
PENROSE,2618888.0,1173.28,2232.0,2025-08-01,109.0,24026.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,3.0,,0,1
PENROSE,1775000.0,807.3,2199.0,2025-08-01,75.0,23667.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,4.0,,0,1
SIMS URBAN OASIS,850000.0,441.32,1926.0,2025-08-01,41.0,20732.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,1.0,3,4,0,8,9,1,3.0,1.0,1,1
TRE RESIDENCES,1800000.0,947.23,1900.0,2025-08-01,88.0,20455.0,1.3172278261209,103.885015905304,9 GEYLANG EAST AVENUE 1 TRE RESIDENCES SINGAPORE 389783,5.353082321074245,1.0,3,3,2,8,9,3,3.0,1.0,1,1
CHEN FANG MANSIONS,1180000.0,936.47,1260.0,2025-08-01,87.0,13563.0,1.31538221755903,103.887936481421,26 LORONG 33 GEYLANG CHEN FANG MANSIONS SINGAPORE 387986,5.451511173883931,1.0,4,6,3,7,11,4,1.0,1.0,0,1
THE HELICONIA,1725000.0,1302.44,1324.0,2025-08-01,121.0,14256.0,1.32635294484067,103.908900244938,30 JALAN DAUD THE HELICONIA SINGAPORE 419572,8.031320801555648,1.0,3,2,0,2,7,16,2.0,1.0,1,2
PENROSE,960000.0,484.38,1982.0,2025-08-01,45.0,21333.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,1.0,3,4,0,8,9,1,2.0,,0,1
GUILLEMARD SUITES,1720000.0,1259.39,1366.0,2025-08-01,117.0,14701.0,1.31094521852726,103.882721097721,213 GUILLEMARD ROAD GUILLEMARD SUITES SINGAPORE 399733,4.691609257032653,1.0,3,4,0,8,9,3,1.0,1.0,0,1
LE CRESCENDO,2200000.0,1313.21,1675.0,2025-08-01,122.0,18033.0,1.33049714674003,103.888409268781,233 PAYA LEBAR ROAD LE CRESCENDO SINGAPORE 409044,6.701977813091088,1.0,4,3,0,6,9,4,2.0,1.0,1,1
EUHABITAT,790000.0,548.96,1439.0,2025-08-01,51.0,15490.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,1.0,2,2,0,2,6,15,1.0,1.0,1,2
VACANZA @ EAST,748888.0,484.38,1546.0,2025-08-01,45.0,16642.0,1.32901984483655,103.914196223923,36 LENGKONG TUJOH VACANZA @ EAST SINGAPORE 417391,8.680985857703446,1.0,3,1,0,2,8,12,1.0,1.0,1,2
THE TRUMPS,1698888.0,979.52,1734.0,2025-08-01,91.0,18669.0,1.32002610262337,103.91348728953,1 JALAN KEMBANGAN THE TRUMPS SINGAPORE 419154,8.069943599460245,1.0,1,0,0,2,12,18,2.0,1.0,1,2
ATRIUM RESIDENCES,1630000.0,1022.58,1594.0,2025-08-01,95.0,17158.0,1.31372274938589,103.886156549479,532 GEYLANG ROAD ATRIUM RESIDENCES SINGAPORE 389488,5.181625591258403,1.0,5,4,2,7,11,5,2.0,1.0,0,1
SIMS URBAN OASIS,2228888.0,1033.34,2157.0,2025-07-01,96.0,23218.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,2.0,3,4,0,8,9,1,3.0,1.0,1,1
SIMS URBAN OASIS,875000.0,441.32,1983.0,2025-07-01,41.0,21341.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,2.0,3,4,0,8,9,1,3.0,1.0,1,1
PARC ESTA,1650000.0,742.72,2222.0,2025-07-01,69.0,23913.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,1.0,1.0,0,1
TRE RESIDENCES,1836888.0,947.23,1939.0,2025-07-01,88.0,20874.0,1.3172278261209,103.885015905304,9 GEYLANG EAST AVENUE 1 TRE RESIDENCES SINGAPORE 389783,5.353082321074245,2.0,3,3,2,8,9,3,3.0,1.0,1,1
CENTRA STUDIOS,641800.0,376.74,1704.0,2025-07-01,35.0,18337.0,1.31444000148435,103.882324003158,25 LORONG 25 GEYLANG CENTRA STUDIOS SINGAPORE 388302,4.923274977554681,2.0,3,4,0,8,9,2,2.0,1.0,0,1
PARC ESTA,1655000.0,742.72,2228.0,2025-07-01,69.0,23986.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,2.0,1.0,0,1
PENROSE,2030000.0,958.0,2119.0,2025-07-01,89.0,22809.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,2.0,,0,1
PARK PLACE RESIDENCES AT PLQ,1860000.0,904.18,2057.0,2025-07-01,84.0,22143.0,1.31583675363618,103.892746648427,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,5.896537427358871,2.0,3,3,3,4,12,6,1.0,1.0,0,1
SUITES 28,855000.0,1033.34,827.0,2025-07-01,96.0,8906.0,1.31268459175571,103.885941111431,28 LORONG 30 GEYLANG SUITES 28 SINGAPORE 398361,5.088755596385559,2.0,5,4,1,7,11,4,2.0,1.0,0,1
ASTORIA PARK,1240000.0,958.0,1294.0,2025-07-01,89.0,13933.0,1.32177770499303,103.91225216665,34 LORONG MYDIN ASTORIA PARK SINGAPORE 416827,8.053226885077692,2.0,1,1,0,2,12,17,3.0,1.0,1,2
PAYA LEBAR RESIDENCES,2350000.0,1302.44,1804.0,2025-07-01,121.0,19421.0,1.31752143815241,103.891475654733,27 PAYA LEBAR ROAD PAYA LEBAR RESIDENCES SINGAPORE 409042,5.904426206584732,2.0,4,4,3,4,12,4,3.0,1.0,0,1
PENROSE,2600000.0,1173.28,2216.0,2025-07-01,109.0,23853.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,4.0,,0,1
SIMS MEADOWS,1280000.0,968.76,1321.0,2025-07-01,90.0,14222.0,1.31481342923106,103.888046887621,8 LORONG 33 GEYLANG SIMS MEADOWS SINGAPORE 387977,5.419751008298904,2.0,4,4,3,7,11,4,2.0,1.0,0,1
D'WEAVE,888888.0,548.96,1619.0,2025-07-01,51.0,17429.0,1.31554107907724,103.890458266408,5 LORONG 39 GEYLANG D'WEAVE SINGAPORE 387866,5.67725259584862,2.0,4,4,3,5,13,4,2.0,1.0,0,1
PARC ESTA,1442000.0,635.08,2271.0,2025-07-01,59.0,24441.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,2.0,1.0,0,1
PARK PLACE RESIDENCES AT PLQ,1470000.0,645.84,2276.0,2025-07-01,60.0,24500.0,1.31583675363618,103.892746648427,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,5.896537427358871,2.0,3,3,3,4,12,6,3.0,1.0,0,1
ASTORIA PARK,1465000.0,1194.8,1226.0,2025-07-01,111.0,13198.0,1.32177770499303,103.91225216665,34 LORONG MYDIN ASTORIA PARK SINGAPORE 416827,8.053226885077692,2.0,1,1,0,2,12,17,3.0,1.0,1,2
PENROSE,1350000.0,645.84,2090.0,2025-07-01,60.0,22500.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,3.0,,0,1
PENROSE,2920000.0,1388.56,2103.0,2025-07-01,129.0,22636.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,2.0,,0,1
NESS,680000.0,430.56,1579.0,2025-07-01,40.0,17000.0,1.31269794714045,103.886776844129,38 LORONG 32 GEYLANG NESS SINGAPORE 398298,5.1611183017097115,2.0,5,4,2,7,11,5,1.0,1.0,0,1
SIMSVILLE,1400000.0,979.52,1429.0,2025-07-01,91.0,15385.0,1.31703114737635,103.890499582849,2 GEYLANG EAST AVENUE 2 SIMSVILLE SINGAPORE 389754,5.786575389274496,2.0,4,4,3,6,12,4,3.0,1.0,1,1
# 1 SUITES,700000.0,559.73,1251.0,2025-07-01,52.0,13462.0,1.31239029325188,103.881504147527,1 LORONG 20 GEYLANG # 1 SUITES SINGAPORE 398721,4.699608709809529,2.0,3,3,0,8,9,2,2.0,1.0,0,1
PARK 1 SUITES,908000.0,602.78,1506.0,2025-07-01,56.0,16214.0,1.31404268792091,103.889347045446,8 LORONG 40 GEYLANG PARK 1 SUITES SINGAPORE 398054,5.476811645969878,2.0,4,4,3,6,11,4,2.0,1.0,0,1
THE TRUMPS,1000000.0,667.37,1498.0,2025-07-01,62.0,16129.0,1.32002610262337,103.91348728953,1 JALAN KEMBANGAN THE TRUMPS SINGAPORE 419154,8.069943599460245,2.0,1,0,0,2,12,18,2.0,1.0,1,2
LEVENUE,820000.0,495.14,1656.0,2025-07-01,46.0,17826.0,1.32864269824431,103.913744097652,55 LENGKONG EMPAT LEVENUE SINGAPORE 417642,8.61577565611189,2.0,3,1,0,2,7,13,2.0,1.0,0,2
PARC ESTA,1188000.0,516.67,2299.0,2025-07-01,48.0,24750.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,2.0,1.0,0,1
SIMS URBAN OASIS,2710000.0,1539.25,1761.0,2025-07-01,143.0,18951.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,2.0,3,4,0,8,9,1,4.0,1.0,1,1
PARK PLACE RESIDENCES AT PLQ,1500000.0,667.37,2248.0,2025-07-01,62.0,24194.0,1.31583675363618,103.892746648427,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,5.896537427358871,2.0,3,3,3,4,12,6,1.0,1.0,0,1
PARC ESTA,2350000.0,1054.87,2228.0,2025-07-01,98.0,23980.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,4.0,1.0,0,1
EUHABITAT,777000.0,527.44,1473.0,2025-07-01,49.0,15857.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,2.0,2,2,0,2,6,15,1.0,1.0,1,2
TROPIKA EAST,1218000.0,731.95,1664.0,2025-07-01,68.0,17912.0,1.32886589161997,103.90719397756,3 FOO KIM LIN ROAD TROPIKA EAST SINGAPORE 419679,8.051842718239321,2.0,2,1,0,2,6,15,1.0,1.0,1,2
REZI 35,750000.0,452.09,1659.0,2025-07-01,42.0,17857.0,1.31572120937619,103.888837131268,20 LORONG 35 GEYLANG REZI 35 SINGAPORE 387949,5.551839737035237,2.0,4,4,3,6,13,4,1.0,1.0,0,1
SUNFLOWER VIEW,1338000.0,1022.58,1308.0,2025-07-01,95.0,14084.0,1.31288444198327,103.888327290325,30 LORONG 36 GEYLANG SUNFLOWER VIEW SINGAPORE 398162,5.30818701585947,2.0,5,4,3,6,11,6,2.0,1.0,0,1
PARC ESTA,1380000.0,624.31,2210.0,2025-07-01,58.0,23793.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,1.0,1.0,0,1
EUHABITAT,788000.0,548.96,1435.0,2025-07-01,51.0,15451.0,1.32795415126263,103.9070014142,196 JALAN EUNOS EUHABITAT SINGAPORE 419542,7.971961203569236,2.0,2,2,0,2,6,15,1.0,1.0,1,2
ASTON MANSIONS,1605888.0,1227.1,1309.0,2025-07-01,114.0,14087.0,1.31393251470132,103.890612644048,7 LORONG 42 GEYLANG ASTON MANSIONS SINGAPORE 398028,5.57978728565853,2.0,4,4,3,5,12,6,1.0,1.0,0,1
PARK PLACE RESIDENCES AT PLQ,1328000.0,645.84,2056.0,2025-07-01,60.0,22133.0,1.31583675363618,103.892746648427,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,5.896537427358871,2.0,3,3,3,4,12,6,1.0,1.0,0,1
PARK PLACE RESIDENCES AT PLQ,1443000.0,645.84,2234.0,2025-07-01,60.0,24050.0,1.31583675363618,103.892746648427,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,5.896537427358871,2.0,3,3,3,4,12,6,3.0,1.0,0,1
PENROSE,898000.0,473.62,1896.0,2025-07-01,44.0,20409.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,1.0,,0,1
BLISS VILLE,2100000.0,1657.66,1267.0,2025-07-01,154.0,13636.0,1.32374715619118,103.909135122768,69H LORONG MELAYU BLISS VILLE SINGAPORE 417030,7.88417716920167,2.0,2,1,0,2,8,16,1.0,1.0,0,2
PARC ESTA,1620000.0,699.66,2315.0,2025-07-01,65.0,24923.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,3.0,1.0,0,1
PARC ESTA,1678000.0,742.72,2259.0,2025-07-01,69.0,24319.0,1.31786521916555,103.903967184717,904 SIMS AVENUE PARC ESTA SINGAPORE 408968,7.043509290403673,2.0,1,4,0,1,13,16,2.0,1.0,0,1
SIMS URBAN OASIS,1800000.0,958.0,1879.0,2025-07-01,89.0,20225.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,2.0,3,4,0,8,9,1,4.0,1.0,1,1
PARK PLACE RESIDENCES AT PLQ,2620000.0,1162.51,2254.0,2025-07-01,108.0,24259.0,1.31583675363618,103.892746648427,2 PAYA LEBAR ROAD PARK PLACE RESIDENCES AT PLQ SINGAPORE 409053,5.896537427358871,2.0,3,3,3,4,12,6,2.0,1.0,0,1
SIMS URBAN OASIS,1968000.0,958.0,2054.0,2025-07-01,89.0,22112.0,1.31926710475553,103.880615863782,6 SIMS DRIVE SIMS URBAN OASIS SINGAPORE 387388,5.190897370243519,2.0,3,4,0,8,9,1,2.0,1.0,1,1
PENROSE,1325888.0,645.84,2053.0,2025-07-01,60.0,22098.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,2.0,,0,1
PENROSE,2430000.0,1184.04,2052.0,2025-07-01,110.0,22091.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,1.0,,0,1
PENROSE,1995000.0,936.47,2130.0,2025-07-01,87.0,22931.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,3.0,,0,1
PENROSE,2015000.0,936.47,2152.0,2025-07-01,87.0,23161.0,1.31948983025856,103.879994891095,22 SIMS DRIVE PENROSE SINGAPORE 387396,5.166503889250989,2.0,3,4,0,8,9,1,4.0,,0,1
