Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Area (SQM),Unit Price ($ PSM),Latitude,Longitude,Full Address,Dist to CBD in Km,Sale Months Since Sep 2025,Num MRT Within 1km,Num Hawker Within 1km,Num Malls Within 1km,Num Hospitals Within 5km,Num Schools Within 2km,Num Parks Within 1km,Floor_Level_Category,Type_of_Sale_Encoded,Property_Type_Encoded,Market_Segment_Encoded
AMARYLLIS VILLE,2070000.0,958.0,2161.0,2025-07-01,89.0,23258.0,1.31478233515073,103.841958399488,22 NEWTON ROAD AMARYLLIS VILLE SINGAPORE 307990,3.655547978307824,2.0,3,2,2,14,13,6,2.0,1.0,1,0
ROCHELLE AT NEWTON,2580000.0,1356.26,1902.0,2025-07-01,126.0,20476.0,1.31404425678498,103.841922909924,188 KENG LEE ROAD ROCHELLE AT NEWTON SINGAPORE 308414,3.578271566582672,2.0,3,2,2,14,11,6,2.0,1.0,1,0
ZEDGE,1320000.0,721.19,1830.0,2025-07-01,67.0,19701.0,1.32242172407521,103.848172032797,2 AKYAB ROAD ZEDGE SINGAPORE 309973,4.370398222376426,2.0,1,3,4,12,14,7,4.0,1.0,0,0
PARK INFINIA AT WEE NAM,3800000.0,1431.61,2654.0,2025-07-01,133.0,28571.0,1.31441386999901,103.843291191875,2A LINCOLN ROAD PARK INFINIA AT WEE NAM SINGAPORE 308364,3.57796230174373,2.0,3,2,2,14,11,6,5.0,1.0,1,0
PARK INFINIA AT WEE NAM,3780000.0,1410.08,2681.0,2025-07-01,131.0,28855.0,1.31441386999901,103.843291191875,2A LINCOLN ROAD PARK INFINIA AT WEE NAM SINGAPORE 308364,3.57796230174373,2.0,3,2,2,14,11,6,6.0,1.0,1,0
AMARYLLIS VILLE,2590000.0,1237.86,2092.0,2025-06-01,115.0,22522.0,1.31478233515073,103.841958399488,22 NEWTON ROAD AMARYLLIS VILLE SINGAPORE 307990,3.655547978307824,3.0,3,2,2,14,13,6,2.0,1.0,1,0
SHELFORD GREEN,5150000.0,2841.7,1812.0,2025-06-01,264.0,19508.0,1.32456554554323,103.812187010308,9 SHELFORD ROAD SHELFORD GREEN SINGAPORE 288352,6.3073386259200745,3.0,4,1,0,13,7,8,1.0,1.0,1,0
SANCTUARY@NEWTON,2748240.0,1022.58,2688.0,2025-06-01,95.0,28929.0,1.31602422236802,103.84157165109,2 SURREY ROAD SANCTUARY@NEWTON (U/C) SINGAPORE 307742,3.799414011967981,3.0,3,2,2,14,13,7,1.0,0.0,0,0
10 SHELFORD,930000.0,796.54,1168.0,2025-06-01,74.0,12568.0,1.32580825364563,103.812516919467,10 SHELFORD ROAD 10 SHELFORD SINGAPORE 288353,6.383468750218335,3.0,3,1,0,13,7,8,1.0,1.0,0,0
NOVENA COURT,1420000.0,861.12,1649.0,2025-06-01,80.0,17750.0,1.32292732467511,103.842114483993,2E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308603,4.524348727321245,3.0,1,0,4,13,13,4,1.0,1.0,0,0
THE GLYNDEBOURNE,3750000.0,1926.76,1946.0,2025-06-01,179.0,20950.0,1.32222533352038,103.823597825035,38 TREVOSE CRESCENT THE GLYNDEBOURNE SINGAPORE 297722,5.30213333703159,3.0,4,0,0,14,6,4,1.0,1.0,1,0
DERBYSHIRE HEIGHTS,2280000.0,1291.68,1765.0,2025-06-01,120.0,19000.0,1.31612341185444,103.845518779011,3 DERBYSHIRE ROAD DERBYSHIRE HEIGHTS SINGAPORE 309459,3.7130675479522552,3.0,3,2,2,14,13,7,1.0,1.0,0,0
SOLEIL @ SINARAN,2620000.0,1442.38,1816.0,2025-06-01,134.0,19552.0,1.31960020004528,103.845271738384,2 SINARAN DRIVE SOLEIL @ SINARAN SINGAPORE 307467,4.096964545722665,3.0,1,1,4,14,14,7,7.0,1.0,1,0
