District,Demographic,N_Samples,Alpha,R2,RMSE,MAE
8,Young_Adults_20_35,1459,70.54802310718645,0.8998189524263053,0.31912783650774834,0.24980840911510327
8,Families_36_59,1459,70.54802310718645,0.8998443800639774,0.3190873339268236,0.24980044963796913
8,Retirees_60_Plus,1459,70.54802310718645,0.899936955406988,0.3189398312278118,0.2497456381172974
9,Young_Adults_20_35,5836,215.44346900318865,0.8078402599752791,0.441081855935543,0.2269559027333555
9,Families_36_59,5836,215.44346900318865,0.8078491301329855,0.4410716755752493,0.22695387200171763
9,Retirees_60_Plus,5836,215.44346900318865,0.8078903713457688,0.44102433957571135,0.22694442417700092
10,Young_Adults_20_35,7040,1000.0,0.8466237970255573,0.3950723924940726,0.16666293736233215
10,Families_36_59,7040,1000.0,0.8467241141717542,0.39494317095639087,0.16678322385400754
10,Retirees_60_Plus,7040,1000.0,0.8471710874632571,0.3943668965744743,0.16733838598906306
11,Young_Adults_20_35,2637,497.7023564332114,0.7774636182331855,0.4756312837467891,0.2821820394696102
11,Families_36_59,2637,497.7023564332114,0.7776287620362946,0.47545476848137935,0.2821757083545513
11,Retirees_60_Plus,2637,497.7023564332114,0.7783280052042976,0.4747066495563194,0.282106862965708
12,Young_Adults_20_35,3124,141.74741629268047,0.8227400237320208,0.42893363224197084,0.2337508751076218
12,Families_36_59,3124,141.74741629268047,0.822743458471153,0.4289294765315286,0.2337505121371272
12,Retirees_60_Plus,3124,141.74741629268047,0.8227823854311495,0.428882375766656,0.2337568728312024
13,Young_Adults_20_35,1972,1.4174741629268048,0.8826573639318119,0.3527126081496801,0.24661260295864812
13,Families_36_59,1972,1.4174741629268048,0.8826573745508705,0.3527125921901107,0.24661291364580293
13,Retirees_60_Plus,1972,1.232846739442066,0.8826578665671339,0.3527118527294376,0.24661436499740144
14,Young_Adults_20_35,4826,141.74741629268047,0.8606948870228753,0.3783287459881741,0.24606428805683472
14,Families_36_59,4826,141.74741629268047,0.8607056497113634,0.37831413089974525,0.2460721045850887
14,Retirees_60_Plus,4826,141.74741629268047,0.8607774716225773,0.37821658657283697,0.24609797176789827
15,Young_Adults_20_35,9782,1000.0,0.9736509192965942,0.16431974171451147,0.07713480659834436
15,Families_36_59,9782,1000.0,0.9737010075734877,0.16416348563910893,0.07715964825527306
15,Retirees_60_Plus,9782,1000.0,0.9739355459013569,0.16342982906464254,0.07728455984091939
16,Young_Adults_20_35,3980,162.97508346206433,0.821709857815897,0.4193129054484636,0.31140586728025377
16,Families_36_59,3980,162.97508346206433,0.8217307403919891,0.41928834831377626,0.3113943721610443
16,Retirees_60_Plus,3980,162.97508346206433,0.8218042616863868,0.41920187855119934,0.31134487216313106
17,Young_Adults_20_35,2324,40.37017258596558,0.8730513695293086,0.35484495518349785,0.24836970176639306
17,Families_36_59,2324,40.37017258596558,0.8730584252295875,0.3548350940513649,0.2483654875664058
17,Retirees_60_Plus,2324,40.37017258596558,0.8730834270573142,0.3548001489879543,0.24834413510452372
18,Young_Adults_20_35,6741,756.463327554629,0.8329692263027568,0.41277925007989524,0.2984691002150106
18,Families_36_59,6741,756.463327554629,0.8330790206764311,0.4126435616424805,0.2983495480669481
18,Retirees_60_Plus,6741,756.463327554629,0.8335258133725842,0.41209093588056694,0.29785387190283563
19,Young_Adults_20_35,8747,247.7076355991714,0.832320476480488,0.418946359524669,0.3099437699736358
19,Families_36_59,8747,247.7076355991714,0.832328665430796,0.41893612937630187,0.30994928319551446
19,Retirees_60_Plus,8747,247.7076355991714,0.83235726352219,0.4189004008939948,0.30995867140671446
20,Young_Adults_20_35,2845,497.7023564332114,0.7905000164422064,0.46517882252093107,0.16618911075168258
20,Families_36_59,2845,497.7023564332114,0.7905694468858961,0.4651017336164968,0.16635086682170216
20,Retirees_60_Plus,2845,572.236765935022,0.784200350656123,0.47212098634335764,0.16773071755298724
21,Young_Adults_20_35,5628,215.44346900318865,0.7864283499310714,0.4695520133240131,0.3226688924686693
21,Families_36_59,5628,215.44346900318865,0.7864611263958768,0.4695159812814685,0.32266132848671975
21,Retirees_60_Plus,5628,215.44346900318865,0.7865645286513194,0.4694022902956652,0.3225761896502236
22,Young_Adults_20_35,2303,15.199110829529332,0.7443289720779053,0.5083355163244268,0.37783088771054163
22,Families_36_59,2303,15.199110829529332,0.744341826202618,0.5083227376175344,0.3778122693389602
22,Retirees_60_Plus,2303,15.199110829529332,0.744383500149153,0.5082813059714802,0.377762236385817
23,Young_Adults_20_35,5799,141.74741629268047,0.8433346874261823,0.39802603472813863,0.3064576171492915
23,Families_36_59,5799,141.74741629268047,0.8433433625563056,0.3980150144984891,0.30644440345193924
23,Retirees_60_Plus,5799,141.74741629268047,0.8433755676025114,0.3979741009726196,0.3063799380041443
25,Young_Adults_20_35,953,162.97508346206433,0.8737423005364136,0.35722235655598433,0.24411375519653936
